rep,delta_target,window,n_pos,share_A,auc
2,0.20399999999999996,3,361,0.5318559556786704,0.7603664622462759
2,0.20399999999999996,5,387,0.49612403100775193,0.7454629104430579
2,0.20399999999999996,8,427,0.4496487119437939,0.7405478462488494
2,0.20399999999999996,12,490,0.39183673469387753,0.7259509659025397
3,0.20399999999999996,1,339,0.5693215339233039,0.7856674849765615
3,0.20399999999999996,2,348,0.5574712643678161,0.7845515370605745
3,0.20399999999999996,3,366,0.5300546448087432,0.7696461412216057
3,0.20399999999999996,5,387,0.5012919896640827,0.771445137707191
3,0.20399999999999996,8,430,0.4511627906976744,0.7587942202291978
3,0.20399999999999996,12,483,0.40165631469979296,0.7400141134287368
4,0.20399999999999996,1,337,0.5459940652818991,0.7772106824925816
4,0.20399999999999996,2,350,0.5257142857142857,0.7699650900130057
4,0.20399999999999996,3,363,0.5068870523415978,0.7544689465001554
4,0.20399999999999996,5,387,0.4754521963824289,0.7610739270183399
4,0.20399999999999996,8,429,0.43123543123543123,0.7451069846488174
4,0.20399999999999996,12,490,0.3795918367346939,0.7508883368447532
5,0.20399999999999996,1,315,0.5873015873015873,0.8016022620169652
5,0.20399999999999996,2,328,0.5640243902439024,0.7850588072025813
5,0.20399999999999996,3,339,0.5486725663716814,0.7906082770218019
5,0.20399999999999996,5,361,0.5152354570637119,0.7814022811821156
5,0.20399999999999996,8,403,0.46153846153846156,0.7749328414472576
5,0.20399999999999996,12,479,0.3924843423799583,0.7556643586293371
6,0.20399999999999996,1,327,0.5932721712538226,0.7713639723466239
6,0.20399999999999996,2,336,0.5773809523809523,0.7684379320504975
6,0.20399999999999996,3,349,0.5558739255014327,0.7761625992161512
6,0.20399999999999996,5,368,0.5271739130434783,0.7633781284804674
6,0.20399999999999996,8,407,0.47911547911547914,0.7577928129652267
6,0.20399999999999996,12,462,0.42424242424242425,0.7612274645186037
7,0.20399999999999996,1,339,0.6371681415929203,0.7838635475280573
7,0.20399999999999996,2,356,0.6067415730337079,0.7736962026683368
7,0.20399999999999996,3,365,0.5945205479452055,0.7733326281271486
7,0.20399999999999996,5,393,0.5521628498727735,0.7536263276616723
7,0.20399999999999996,8,429,0.5081585081585082,0.7464675099137251
7,0.20399999999999996,12,486,0.448559670781893,0.7451776339241456
8,0.20399999999999996,1,348,0.5775862068965517,0.7706472876534447
8,0.20399999999999996,2,360,0.5583333333333333,0.7611525704809288
8,0.20399999999999996,3,380,0.5289473684210526,0.7551825601924109
8,0.20399999999999996,5,416,0.4831730769230769,0.7397601625242645
8,0.20399999999999996,8,473,0.42917547568710357,0.7297625762670994
8,0.20399999999999996,12,534,0.38202247191011235,0.7175817406381803
9,0.20399999999999996,1,322,0.6118012422360248,0.7907683949312071
9,0.20399999999999996,2,331,0.5981873111782477,0.7906427614383305
9,0.20399999999999996,3,346,0.5722543352601156,0.7761933195666537
9,0.20399999999999996,5,380,0.5210526315789473,0.7719993347491237
9,0.20399999999999996,8,413,0.4794188861985472,0.7712079740451148
9,0.20399999999999996,12,474,0.4177215189873418,0.7516180134169907
10,0.20399999999999996,1,348,0.5804597701149425,0.7342139724776195
10,0.20399999999999996,2,357,0.5658263305322129,0.7319785606550312
10,0.20399999999999996,3,366,0.5519125683060109,0.7276440461961039
10,0.20399999999999996,5,396,0.5126262626262627,0.7275944154925047
10,0.20399999999999996,8,445,0.45617977528089887,0.7189939533414557
