rep,delta_target,w_B,rho,c_A,c_B,n_A,n_B,n_pos_mix,n_s_mix,auc_mix,auc_A,auc_B,bayes_A,bayes_B,delta_realized,gain,cx_min,cx_max,cx_ratio,comp_q1,comp_q5,comp_gap
16,0.0,0.631578947368421,0.8,0.99,0.458,191,267,458,303,0.8749224940477636,0.9049735888816884,0.7934776230173113,0.9079999999993597,0.9079999999993464,0.11149596586437716,0.030051094833924874,0.42857142857142855,0.7142857142857143,1.6666666666666667,0.14285714285714285,0.5068027210884354,0.36394557823129253
17,0.0,0.631578947368421,0.8,0.99,0.458,216,221,437,320,0.8807917620137301,0.8711457968549369,0.8268168972670991,0.9079999999996365,0.9079999999993595,0.04432889958783781,-0.009645965158793235,0.6448598130841121,0.7697841726618705,1.1937232822437702,0.3333333333333333,0.5539568345323741,0.22062350119904078
18,0.0,0.631578947368421,0.8,0.99,0.458,209,237,446,321,0.8527938503534965,0.8753489730528379,0.7979209819716148,0.9080000000007684,0.9080000000000131,0.07742799108122311,0.022555122699341346,0.5909090909090909,0.7509157509157509,1.2707805015497322,0.2857142857142857,0.5384615384615384,0.25274725274725274
19,0.0,0.631578947368421,0.8,0.99,0.458,191,243,434,306,0.8501291841040282,0.8505522324737871,0.822171203919406,0.9080000000004745,0.907999999999963,0.02838102855438107,0.0004230483697589271,0.5,0.7392996108949417,1.4785992217898833,0.6666666666666666,0.48638132295719844,-0.1802853437094682
20,0.0,0.631578947368421,0.8,0.99,0.458,203,258,461,332,0.853193857746318,0.8921592407530727,0.7789292435545785,0.9079999999998685,0.9079999999997554,0.11322999719849425,0.038965383006754784,0.5619834710743802,0.8143939393939394,1.4491421568627452,0.25,0.5492424242424242,0.2992424242424242
21,0.0,0.631578947368421,0.8,0.99,0.458,201,239,440,313,0.8949276187007785,0.9070145693713899,0.8415143473907432,0.9079999999989321,0.9080000000008958,0.06550022198064676,0.012086950670611385,0.45,1.0,2.2222222222222223,0.0,0.53156146179402,0.53156146179402
22,0.0,0.631578947368421,0.8,0.99,0.458,200,268,468,314,0.8602082275266634,0.861665176575771,0.810838614672144,0.9080000000008167,0.9079999999998927,0.050826561903627,0.0014569490491076476,0.5238095238095238,0.7083333333333334,1.3522727272727273,0.16666666666666666,0.4756944444444444,0.3090277777777778
23,0.0,0.631578947368421,0.8,0.99,0.458,224,228,452,332,0.8709814761151111,0.8846043670518365,0.798436221835712,0.9080000000010597,0.9080000000005007,0.08616814521612459,0.013622890936725418,0.5,0.7627118644067796,1.5254237288135593,0.5,0.5661016949152542,0.0661016949152542
24,0.0,0.631578947368421,0.8,0.99,0.458,202,242,444,297,0.8606971246208576,0.8855494274259641,0.8140157005967733,0.9080000000011439,0.9079999999995954,0.07153372682919079,0.02485230280510653,0.43478260869565216,0.7142857142857143,1.642857142857143,0.2727272727272727,0.5321428571428571,0.25941558441558443
25,0.0,0.631578947368421,0.8,0.99,0.458,223,220,443,316,0.8689488329548464,0.8855064185918392,0.8145425841636937,0.9079999999989918,0.907999999999655,0.07096383442814547,0.016557585636992833,0.475,1.0,2.1052631578947367,0.75,0.5884476534296029,-0.16155234657039708
26,0.0,0.631578947368421,0.8,0.99,0.458,206,244,450,319,0.8588771458927473,0.846753382391979,0.8471216164696913,0.9080000000002899,0.9079999999998162,-0.0003682340777123594,-0.01212376350076838,0.648,0.9047619047619048,1.3962375073486184,0.3333333333333333,0.5057471264367817,0.17241379310344834
